Item,Coder1,Coder2
1,stat,stat
2,stat,stat
3,stat,stat
4,stat,stat
5,stat,stat
6,stat,stat
7,stat,stat
8,stat,stat
9,stat,stat
10,stat,stat
11,stat,stat
12,stat,stat
13,stat,stat
14,stat,stat
15,stat,stat
16,stat,stat
17,stat,stat
18,stat,stat
19,stat,stat
20,stat,stat
21,stat,ques
22,stat,ques
23,stat,ques
24,stat,ques
25,stat,ques
26,stat,ques
27,stat,ques
28,stat,ques
29,stat,ques
30,stat,ques
31,ques,stat
32,ques,stat
33,ques,stat
34,ques,stat
35,ques,stat
36,ques,stat
37,ques,stat
38,ques,stat
39,ques,stat
40,ques,stat
41,ques,stat
42,ques,stat
43,ques,stat
44,ques,stat
45,ques,stat
46,ques,stat
47,ques,stat
48,ques,stat
49,ques,stat
50,ques,stat
51,ques,ques
52,ques,ques
53,ques,ques
54,ques,ques
55,ques,ques
56,ques,ques
57,ques,ques
58,ques,ques
59,ques,ques
60,ques,ques
61,ques,ques
62,ques,ques
63,ques,ques
64,ques,ques
65,ques,ques
66,ques,ques
67,ques,ques
68,ques,ques
69,ques,ques
70,ques,ques
71,ques,ques
72,ques,ques
73,ques,ques
74,ques,ques
75,ques,ques
76,ques,ques
77,ques,ques
78,ques,ques
79,ques,ques
80,ques,ques
81,ques,ques
82,ques,ques
83,ques,ques
84,ques,ques
85,ques,ques
86,ques,ques
87,ques,ques
88,ques,ques
89,ques,ques
90,ques,ques
91,ques,ques
92,ques,ques
93,ques,ques
94,ques,ques
95,ques,ques
96,ques,ques
97,ques,ques
98,ques,ques
99,ques,ques
100,ques,ques
